iata,name,city,country,lat,lon
LIS,Humberto Delgado,Lisbon,PT,38.7742,-9.1342
OPO,Francisco Sa Carneiro,Porto,PT,41.2481,-8.6814
MAD,Adolfo Suarez Barajas,Madrid,ES,40.4983,-3.5676
BCN,Josep Tarradellas El Prat,Barcelona,ES,41.2974,2.0833
CDG,Charles de Gaulle,Paris,FR,49.0097,2.5479
ORY,Orly,Paris,FR,48.7233,2.3794
BVA,Beauvais Tille,Paris,FR,49.4544,2.1128
NCE,Cote d Azur,Nice,FR,43.6584,7.2159
FCO,Leonardo da Vinci Fiumicino,Rome,IT,41.8003,12.2389
MXP,Malpensa,Milan,IT,45.6306,8.7281
VCE,Marco Polo,Venice,IT,45.5053,12.3519
NAP,Capodichino,Naples,IT,40.8860,14.2908
FLR,Peretola,Florence,IT,43.8100,11.2051
BER,Brandenburg,Berlin,DE,52.3667,13.5033
FRA,Frankfurt,Frankfurt,DE,50.0379,8.5622
MUC,Munich,Munich,DE,48.3538,11.7861
AMS,Schiphol,Amsterdam,NL,52.3105,4.7683
BRU,Brussels,Brussels,BE,50.9014,4.4844
LHR,Heathrow,London,GB,51.4700,-0.4543
MAN,Manchester,Manchester,GB,53.3537,-2.2750
EDI,Edinburgh,Edinburgh,GB,55.9500,-3.3725
DUB,Dublin,Dublin,IE,53.4264,-6.2499
ZRH,Zurich,Zurich,CH,47.4647,8.5492
GVA,Geneve,Geneva,CH,46.2381,6.1090
VIE,Vienna,Vienna,AT,48.1103,16.5697
PRG,Vaclav Havel,Prague,CZ,50.1008,14.2600
BTS,M R Stefanik,Bratislava,SK,48.1702,17.2127
BUD,Ferenc Liszt,Budapest,HU,47.4369,19.2556
LJU,Joze Pucnik,Ljubljana,SI,46.2237,14.4576
ZAG,Franjo Tudman,Zagreb,HR,45.7429,16.0688
SJJ,Sarajevo,Sarajevo,BA,43.8246,18.3315
BEG,Nikola Tesla,Belgrade,RS,44.8184,20.3091
SOF,Sofia,Sofia,BG,42.6967,23.4114
OTP,Henri Coanda,Bucharest,RO,44.5711,26.0850
ATH,Eleftherios Venizelos,Athens,GR,37.9364,23.9445
WAW,Chopin,Warsaw,PL,52.1657,20.9671
KRK,John Paul II,Krakow,PL,50.0777,19.7848
GDN,Lech Walesa,Gdansk,PL,54.3776,18.4662
CPH,Kastrup,Copenhagen,DK,55.6180,12.6508
ARN,Arlanda,Stockholm,SE,59.6519,17.9186
OSL,Gardermoen,Oslo,NO,60.1939,11.1004
HEL,Vantaa,Helsinki,FI,60.3172,24.9633
TLL,Lennart Meri,Tallinn,EE,59.4133,24.8328
RIX,Riga,Riga,LV,56.9236,23.9711
VNO,Vilnius,Vilnius,LT,54.6341,25.2858
FNC,Cristiano Ronaldo,Funchal,PT,32.6979,-16.7745
TIA,Tirana International Airport Mother Teresa,Rinas,AL,41.4147,19.7206
CRL,Brussels South Charleroi,Charleroi,BE,50.462,4.4596
CGN,Cologne Bonn,Koln (Cologne),DE,50.8659,7.1427
DUS,Dusseldorf,Dusseldorf,DE,51.2895,6.7668
HAJ,Hannover,Hannover,DE,52.4611,9.6851
HAM,Hamburg Helmut Schmidt,Hamburg,DE,53.6304,9.9882
STR,Stuttgart,Stuttgart,DE,48.6899,9.222
AGP,Malaga-Costa del Sol,Malaga,ES,36.6749,-4.4991
ALC,Alicante-Elche Miguel Hernandez,Alicante,ES,38.2822,-0.5582
BIO,Bilbao,Bilbao,ES,43.3011,-2.9106
IBZ,Ibiza,Ibiza (Eivissa),ES,38.8729,1.3731
PMI,Palma de Mallorca,Palma de Mallorca,ES,39.5517,2.7388
SVQ,Seville,Seville,ES,37.418,-5.8931
VLC,Valencia,Valencia,ES,39.4892,-0.481
BOD,Bordeaux-Merignac,Bordeaux,FR,44.8287,-0.7154
BSL,EuroAirport Basel-Mulhouse-Freiburg,Bale / Mulhouse,FR,47.6007,7.5211
LYS,Lyon Saint-Exupery,Colombier-Saugnieu,FR,45.726,5.0901
MRS,Marseille Provence,Marignane,FR,43.4381,5.2125
NTE,Nantes Atlantique,Nantes,FR,47.1532,-1.6107
TLS,Toulouse-Blagnac,Toulouse/Blagnac,FR,43.6291,1.3638
BFS,Belfast,Belfast,GB,54.6575,-6.2158
BHX,Birmingham,Birmingham,GB,52.4539,-1.748
BRS,Bristol,Bristol,GB,51.3823,-2.7165
GLA,Glasgow,Glasgow,GB,55.8719,-4.4331
LGW,London Gatwick,London,GB,51.1487,-0.1857
LPL,Liverpool John Lennon,Liverpool,GB,53.3349,-2.8496
LTN,London Luton,Luton,GB,51.8747,-0.3683
NCL,Newcastle,Newcastle upon Tyne,GB,55.038,-1.6896
STN,London Stansted,London,GB,51.885,0.235
CFU,Corfu Ioannis Kapodistrias,Kerkyra (Corfu),GR,39.6014,19.9122
HER,Heraklion International Nikos Kazantzakis,Heraklion,GR,35.3397,25.1803
RHO,Rhodes International Airport Diagoras,Rhodes,GR,36.4054,28.0862
SKG,Thessaloniki Macedonia,Thessaloniki,GR,40.5193,22.97
KEF,Keflavik,Reykjavik,IS,63.985,-22.6056
BGY,Il Caravaggio,Orio al Serio (BG),IT,45.6694,9.7089
BLQ,Bologna Guglielmo Marconi,Bologna,IT,44.5354,11.2887
BRI,Bari Karol Wojtyla,Bari,IT,41.1389,16.7606
CAG,Cagliari Elmas,Cagliari,IT,39.2515,9.0543
CTA,Catania-Fontanarossa,Catania,IT,37.4668,15.0664
LIN,Milano Linate,Segrate (MI),IT,45.4451,9.2767
PMO,Falcone-Borsellino,Palermo,IT,38.176,13.091
PSA,Pisa,Pisa (PI),IT,43.6839,10.3927
TRN,Turin,Caselle Torinese (TO),IT,45.2008,7.6496
LUX,Luxembourg-Findel,Luxembourg,LU,49.6268,6.2121
MLA,Malta,Valletta,MT,35.8459,14.4915
EIN,Eindhoven,Eindhoven,NL,51.4501,5.3745
BGO,Bergen Airport Flesland,Bergen,NO,60.2934,5.2181
KTW,Katowice Wojciech Korfanty,Katowice,PL,50.476,19.0807
WRO,Copernicus Wroclaw,Wroclaw,PL,51.1037,16.8821
FAO,Faro - Gago Coutinho,Faro,PT,37.0159,-7.9709
GOT,Goteborg Landvetter,Goteborg,SE,57.6628,12.2798
IST,Istanbul,Istanbul,TR,41.2749,28.7321
